Method 	Date 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc. 	IoU 	Acc.
Inria1  	3-Jan-17 	52.91 	95.14 	46.08 	94.95 	58.12 	95.16 	57.84 	86.05 	59.03 	96.40 	55.82 	93.54
Inria2  	3-Jan-17 	56.11 	95.37 	50.40 	95.27 	61.03 	95.37 	61.38 	87.00 	62.51 	96.61 	59.31 	93.93
TeraDeep  	5-May-17 	58.08 	95.88 	53.38 	95.61 	59.47 	95.26 	64.34 	88.71 	62.00 	96.57 	60.95 	94.41
RMIT 	16-July-17 	57.30 	95.97 	51.78 	95.60 	60.70 	95.69 	66.71 	89.23 	59.73 	96.59 	61.73 	94.62
Raisa Energy 	8-Sep-17 	64.46 	96.04 	56.63 	95.38 	66.99 	95.97 	67.74 	87.48 	69.21 	96.92 	65.94 	94.36
DukeAMLL 	6-Nov-17 	66.90 	96.69 	58.48 	96.15 	69.92 	96.37 	75.54 	91.87 	72.34 	97.42 	70.91 	95.70
NUS 	13-Nov-17 	65.36 	96.34 	58.50 	95.95 	68.45 	96.21 	71.17 	90.08 	71.58 	97.32 	68.36 	95.18
Onera 1 	14-Nov-17 	63.42 	96.11 	62.74 	96.20 	63.77 	95.44 	66.53 	89.18 	65.90 	96.76 	65.04 	94.74
Onera 2 	14-Nov-17 	68.92 	96.94 	68.12 	97.00 	71.87 	96.72 	71.17 	89.74 	74.75 	97.78 	71.02 	95.63
NUS 	22-Nov-17 	70.74 	97.00 	66.06 	96.74 	73.17 	96.75 	73.57 	91.19 	76.06 	97.81 	72.45 	95.90
DukeAMLL 	29-Nov-17 	67.14 	96.64 	65.43 	96.73 	72.27 	96.66 	75.72 	91.80 	74.67 	97.70 	72.55 	95.91
Raisa Energy 	30-Nov-17 	68.73 	96.79 	60.83 	96.23 	70.07 	96.31 	70.64 	89.52 	74.76 	97.64 	69.57 	95.30
NUS 	11-Dec-17 	66.93 	96.54 	61.42 	96.34 	71.06 	96.47 	74.34 	91.47 	73.21 	97.51 	70.99 	95.67
NUS 	15-Dec-17 	70.73 	97.06 	64.87 	96.69 	73.64 	96.86 	73.04 	91.19 	76.36 	97.88 	72.18 	95.94
DukeAMLL 	15-Dec-17 	68.75 	96.89 	59.17 	96.27 	71.82 	96.66 	69.28 	89.90 	75.83 	97.85 	69.15 	95.51
Koki Takahashi 	22-Dec-17 	69.71 	96.89 	67.10 	96.49 	78.41 	97.47 	79.79 	93.29 	80.15 	98.26 	76.42 	96.48
Tao Hu 	2-Jan-18 	65.92 	96.78 	62.05 	96.54 	72.37 	96.91 	69.78 	90.35 	70.21 	97.46 	68.72 	95.61
ENPC Singh 	4-Jan-18 	63.34 	95.90 	63.20 	96.16 	76.08 	97.18 	74.91 	91.67 	77.58 	98.01 	72.07 	95.78
ENPC Singh2 	4-Jan-18 	64.28 	96.00 	65.84 	96.52 	77.11 	97.31 	75.86 	92.01 	78.68 	98.12 	73.30 	95.99
ENPC Singh3 	5-Jan-18 	63.58 	95.91 	63.94 	96.22 	76.28 	97.21 	75.48 	91.83 	77.69 	98.03 	72.50 	95.84
Tao Hu2 	21-Jan-18 	68.62 	96.81 	66.06 	96.82 	76.43 	97.24 	74.68 	91.58 	77.92 	98.05 	73.41 	96.10
Ohleyer ENS 	21-Jan-18 	57.72 	95.78 	57.84 	96.06 	63.81 	95.38 	40.00 	81.23 	67.25 	96.92 	52.42 	93.07
Tao Hu3 	23-Jan-18 	70.73 	97.10 	69.75 	97.15 	76.58 	97.26 	76.10 	91.80 	78.63 	98.11 	74.95 	96.29
Xiang Li 	6-Feb-18 	67.08 	96.65 	61.86 	96.37 	70.20 	96.44 	74.90 	91.61 	71.90 	97.47 	71.03 	95.71
Xiang Li2 	7-Feb-18 	67.32 	96.67 	62.28 	96.43 	70.51 	96.47 	74.76 	91.57 	72.38 	97.53 	71.16 	95.73
Tao Hu4 	8-Feb-18 	70.73 	97.09 	69.98 	97.22 	76.74 	97.29 	76.73 	92.34 	79.09 	98.17 	75.33 	96.42
Kang Zhao 	23-Feb-18 	56.11 	95.37 	50.40 	95.27 	61.03 	95.37 	61.38 	87.00 	62.51 	96.62 	59.31 	93.93
Vladimir Iglovikov 	27-Feb-18 	72.24 	97.13 	72.10 	97.28 	74.57 	96.85 	72.40 	90.60 	78.33 	98.01 	73.41 	95.97
Alexander Buslaev 	4-Mar-18 	72.38 	97.16 	76.89 	97.76 	76.68 	97.21 	78.67 	92.81 	79.85 	98.21 	77.39 	96.63
Alexander Buslaev2 	8-Mar-18 	72.89 	97.27 	78.21 	97.93 	77.98 	97.42 	79.71 	93.29 	80.47 	98.28 	78.39 	96.84
Romanian Academy 	8-Mar-18 	68.46 	96.72 	65.58 	96.50 	71.16 	96.37 	65.07 	85.58 	73.92 	97.57 	67.45 	94.55
Ales Zhuk 	9-Mar-18 	43.12 	91.74 	25.92 	83.43 	46.29 	90.71 	65.93 	87.47 	40.03 	90.80 	47.46 	88.83
Mi Zhang 	10-Mar-18 	55.58 	93.66 	56.43 	94.24 	70.38 	96.09 	72.60 	90.11 	71.84 	97.13 	66.92 	94.25
Vladimir Iglovikov2 	12-Mar-18 	71.85 	97.02 	59.06 	94.77 	78.50 	97.44 	79.77 	93.12 	81.13 	98.31 	75.28 	96.13
Ales Zhuk2 	28-Mar-18 	53.91 	94.66 	51.18 	94.69 	57.92 	94.20 	72.07 	90.53 	56.31 	95.01 	62.11 	93.82
